target,Intent,user_Input
5,Change_Destination,I want to fly to a different city
5,Change_Destination,How do I change the location for my flight reservation?
5,Change_Destination,Can I modify the destination of my booking?
5,Change_Destination,I need to change the airport I'm flying to
5,Change_Destination,Can I change my destination to Hawaii instead of Cancun?
5,Change_Destination,How can I modify my booking to switch to Paris as the destination?
5,Change_Destination,Can I change my trip to go to Bali instead of Phuket?
5,Change_Destination,Is it possible to alter my booking to a different destination like New York City?
5,Change_Destination,Can I change my trip from Los Angeles to San Francisco?
5,Change_Destination,Can I change my travel itinerary to Vancouver instead of Toronto?
5,Change_Destination,Can I change my booking from Amsterdam to Brussels?
5,Change_Destination,How can I change my destination to Dubai from Abu Dhabi?
5,Change_Destination,Is it possible to modify my trip to a different location like Sydney?
5,Change_Destination,Can I change my vacation package to Barcelona instead of Madrid?
6,Change_Date,I need to change the date of my reservation
6,Change_Date,How do I modify the date of my booking?
6,Change_Date,Is it possible to change the departure date of my flight?
6,Change_Date,Can I change the date of my booking?
6,Change_Date,What are my options for changing the travel date?
6,Change_Date,Is it possible to move my flight to a different date?
6,Change_Date,How can I reschedule my trip to a later date?
6,Change_Date,"I need to push my travel date back, how can I do that?"
6,Change_Date,Can you help me change the departure date of my booking?
6,Change_Date,"I made a mistake in the date of my booking, how can I correct it?"
6,Change_Date,Is there a fee for changing the travel date?
6,Change_Date,How far in advance can I change my flight date?
6,Change_Date,"I need to change the date of my booking, what are the steps to do that?"
7,cancel_flight,I need to cancel my flight
7,cancel_flight,Can I cancel my flight?
7,cancel_flight,How do I cancel my flight?
7,cancel_flight,What is the cancellation policy for my flight?
7,cancel_flight,I want to cancel my flight due to an emergency
7,cancel_flight,Can I get a refund if I cancel my flight?
7,cancel_flight,I need to change my flight reservation
7,cancel_flight,"My plans have changed, how can I cancel my flight?"
7,cancel_flight,What is the deadline to cancel my flight?
7,cancel_flight,"I booked my flight on a third-party website, can I still cancel my flight?"
7,cancel_flight,Can I cancel my flight online?
7,cancel_flight,How much does it cost to cancel my flight?
7,cancel_flight,Can I cancel my flight and get a credit for future travel?
7,cancel_flight,Can I cancel a non-refundable flight?
7,cancel_flight,Can I cancel a flight booked with points?
8,end_booking,"That's all for now, thanks!"
8,end_booking,"I need to go now, bye!"
8,end_booking,"Thanks for your help, bye!"
8,end_booking,"I'm done here, bye!"
8,end_booking,Can we end this chat now?
8,end_booking,"I have to run, bye!"
8,end_booking,"Alright, thanks for your help. Goodbye!"
8,end_booking,"That's all I needed, thanks!"
8,end_booking,Bye for now!
8,end_booking,"I think we're finished here, bye!"
8,end_booking,"I've got what I need, thanks!"
8,end_booking,"This was helpful, thanks and bye!"
8,end_booking,"It's time for me to go, bye!"
8,end_booking,Goodbye and thank you!
8,end_booking,"That's everything I needed, thanks!"
